"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "Year"
"70" 50000 64600 73700 49600 117000 15000 9810 19700 34900 25100 82400 26100 30800 25800 32400 36900 9500 16800 33400 38700 39200 13400 16000 45700 47000 59300 111000 173000 2006
"71" 58900 87300 107000 88000 189000 23500 13000 18300 21700 36600 84900 35300 36300 33300 44600 48200 10900 23400 49700 70200 60600 12600 29100 45800 42600 44500 98600 178000 2007
"72" 59200 86800 99000 71000 192000 27600 15000 11500 14800 26000 78800 40800 52700 31700 64900 52700 13200 31200 71000 102000 91100 49300 25100 127000 79500 60800 132000 253000 2008
"73" 47600 70600 82100 79000 135000 18400 10800 20500 33900 27900 77600 23200 25000 18700 27200 45200 12300 26200 57800 68600 61500 22000 17300 33900 55300 29300 72600 138000 2009
"74" 46000 75700 89000 73500 204000 16300 12000 31100 47300 44600 114000 24700 37300 23700 39100 69800 8990 19400 42000 58700 55100 8930 21700 24500 35400 26900 50900 102000 2010
"75" 70000 96600 108000 64800 211000 27500 14400 26300 50800 29500 80000 35800 41800 32400 50900 76000 14500 24500 57100 93600 87800 26200 26600 47000 42900 63200 132000 268000 2011
"76" 35600 56900 66500 56700 137000 18900 11900 11100 24800 23000 66700 31700 36100 23000 40400 39000 8080 17700 34600 46500 44000 9170 10100 22000 22400 24200 49700 98500 2012
"77" 51400 79600 81900 54300 152000 18300 10900 54700 65800 32600 108000 37700 39200 40700 54900 43700 22000 39300 80000 127000 120000 20600 32500 58500 52500 43100 84300 194000 2013
"78" 49900 75500 71100 53200 146000 18900 14600 13500 26700 27300 70400 29500 32300 24400 40700 44300 10300 20800 49200 51300 50800 10900 20000 39300 33800 45500 91200 144000 2014
"79" 49800 68100 71600 85200 150000 23000 13200 42100 48900 34800 102000 33100 30500 29700 43700 50200 19100 35100 68200 102000 98000 37300 21300 30600 33900 40300 70500 127000 2015
"80" 38300 51500 53700 61900 142000 16400 10200 23900 37500 65700 99800 23700 27700 16300 25600 44000 9910 15800 32600 88300 98300 18400 8890 34300 18600 36300 75700 175000 2016
"81" 70800 103000 117000 91900 151000 25000 11000 40800 60300 25100 84300 27600 34100 22400 40900 40500 9930 22500 46400 74000 73500 31500 27400 56000 35600 36300 90300 2e+05 2017
